/
'12DGR120tipp                  '130.08317
'12DGR140tipp                  '130.08317
'12DGR141tipp                  '130.08317
'12DGR160tipp                  '130.08317
'12DGR161tipp                  '130.08317
'12DGR180tipp                  '130.08317
'12DGR181tipp                  '130.08317
'ARBTNR2                       ' 70.95460
'ARBTNR3                       ' 70.95460
'ARBTNtex                      '141.90919
'ARBTNtonex                    '141.90919
'ARBTNtpp                      '141.90919
'ARGabcpp                      '234.14970
'ARGAGMt7pp_f                  ' 34.43378
'ARGAGMt7pp_b                  '  0.00000
'ARGDC                         ' 34.44181
'ARGDCpp                       ' 33.45775
'ARGORNt7pp_f                  '585.37426
'ARGORNt7pp_b                  '  0.00000
'ARGSL_f                       ' 48.87648
'ARGSL_b                       '  0.00000
'ARGSS                         ' 48.87648
'ARGt3pp                       '585.37426
'ARGtex_f                      '  0.00000
'ARGtex_b                      '  0.00000
'ARGTRS                        '  0.00000
'ASAD_f                        ' -0.32218
'ASAD_b                        '  0.00000
'ASCBPL                        '  0.00000
'ASCBptspp                     '  0.00000
'ASCBtex_f                     '  0.00000
'ASCBtex_b                     '  0.00000
'ASNabcpp                      '390.24951
'ASNN                          '292.68713
'ASNNpp                        '292.68713
'ASNS1                         '146.37987
'ASNS2                         '292.75973
'ASNt2rpp_f                    '  0.00000
'ASNt2rpp_b                    '  0.00000
'ASNtex_f                      '  0.00000
'ASNtex_b                      '  0.00000
'ASNTRS                        '  0.00000
'ASO3t8pp                      '  0.00000
'ASO3tex_f                     '  0.00000
'ASO3tex_b                     '  0.00000
'ASP1DC                        '  0.00180
'ASPabcpp                      '167.24979
'ASPCT                         ' 43.46036
'ASPK_f                        ' 85.69248
'ASPK_b                        '  0.00000
'ASPO3                         '  0.00000
'ASPO4                         '  0.00711
'ASPO5                         '  0.00711
'ASPO6                         '  0.00000
'ASPT                          '585.37426
'ASPt2_2pp                     '234.14970
'ASPt2_3pp                     '195.12475
'ASPt2pp                       '292.68713
'ASPTA_f                       ' -0.88136
'ASPTA_b                       '  0.00000
'ASPtex_f                      '  0.00000
'ASPtex_b                      '  0.00000
'ASPTRS                        '  0.00000
'ASR                           '  0.00000
'AST                           ' 48.78119
'ATHRDHr_f                     '  0.00000
'ATHRDHr_b                     '  0.00000
'ATPHs                         '117.07485
'ATPM                          '292.68713
'ATPPRT                        ' 27.68403
'ATPS4rpp_f                    '121.26780
'ATPS4rpp_b                    '  0.00000
'BALAt2pp                      '  0.00000
'BALAtex_f                     '  0.00000
'BALAtex_b                     '  0.00000
'BETALDHx                      '  0.00000
'BETALDHy                      '  0.00000
'BPNT                          ' 69.61193
'BSORx                         '  0.00000
'BSORy                         '  0.00000
'BTS4                          '  0.00000
'BUTCT                         '  0.00000
'BUTSO3abcpp                   '  0.00000
'BUTSO3tex_f                   '  0.00000
'BUTSO3tex_b                   '  0.00000
'BUTt2rpp_f                    '  0.00000
'BUTt2rpp_b                    '  0.00000
'BUTtex_f                      '  0.00000
'BUTtex_b                      '  0.00000
'CA2t3pp                       '999.99860
'CA2tex_f                      '  0.01467
'CA2tex_b                      '  0.00000
'CADVtpp                       ' 48.78016
'CAT                           '  0.00000
'CAt6pp_f                      ' -0.00140
'CAt6pp_b                      '  0.00000
'CBIAT_f                       '  0.00000
'CBIAT_b                       '  0.00000
'CBItonex                      '  0.00000
'CBIuabcpp                     '  0.00000
'CBL1abcpp                     '  0.00070
'CBL1tonex                     '  0.00070
