* Pathways from iAF1260

AGMHE	[c] : adphep-DD --> adphep-LD
AGMT	[c] : agm + h2o --> ptrc + urea
AGMt2pp	anhgm[p] + h[p] --> anhgm[c] + h[c]
AGMtex	agm[e] <==> agm[p]
AGPAT120	[c] : 1ddecg3p + ddcaACP --> ACP + pa120
AGPAT140	[c] : 1tdecg3p + myrsACP --> ACP + pa140
AGPAT141	[c] : 1tdec7eg3p + tdeACP --> ACP + pa141
AGPAT160	[c] : 1hdecg3p + palmACP --> ACP + pa160
AGPAT161	[c] : 1hdec9eg3p + hdeACP --> ACP + pa161
AGPAT180	[c] : 1odecg3p + ocdcaACP --> ACP + pa180
AGPAT181	[c] : 1odec11eg3p + octeACP --> ACP + pa181
AGPR	[c] : acg5sa + nadp + pi <==> acg5p + h + nadph
AGt3	ag[c] + h[e] --> ag[e] + h[c]
AHCYSNS	[c] : ahcys + h2o --> ade + rhcys
AICART	[c] : 10fthf + aicar <==> fprica + thf
AIRC2	[c] : air + atp + hco3 --> 5caiz + adp + h + pi
AIRC3	[c] : 5aizc <==> 5caiz
AKGDH	[c] : akg + coa + nad --> co2 + nadh + succoa
AKGt2rpp	akg[p] + h[p] <==> akg[c] + h[c]
AKGtex	akg[e] <==> akg[p]
ALAabcpp	ala-L[p] + atp[c] + h2o[c] --> adp[c] + ala-L[c] + h[c] + pi[c]
ALAALAabcpp	alaala[p] + atp[c] + h2o[c] --> adp[c] + alaala[c] + h[c] + pi[c]
ALAALAD	[c] : alaala + h2o --> (2) ala-D
ALAALAr	[c] : (2) ala-D + atp <==> adp + alaala + h + pi
ALAALAtex	alaala[e] <==> alaala[p]
ALAGLUE	[c] : LalaDglu <==> LalaLglu
ALAR	[c] : ala-L <==> ala-D
ALAt2pp	ala-L[p] + h[p] --> ala-L[c] + h[c]
ALAt4pp	ala-L[p] + na1[p] --> ala-L[c] + na1[c]
ALATA_D2	[c] : ala-D + pydx5p --> pyam5p + pyr
ALATA_L	[c] : akg + ala-L <==> glu-L + pyr
ALATA_L2	[c] : ala-L + pydx5p --> pyam5p + pyr
ALAtex	ala-L[e] <==> ala-L[p]
ALATRS	[c] : ala-L + atp + trnaala --> alatrna + amp + ppi
ALCD19	[c] : glyald + h + nadh <==> glyc + nad
ALCD2x	[c] : etoh + nad <==> acald + h + nadh
ALDD19x	[c] : h2o + nad + pacald --> (2) h + nadh + pac
ALDD2x	[c] : acald + h2o + nad --> ac + (2) h + nadh
ALDD2y	[c] : acald + h2o + nadp --> ac + (2) h + nadph
ALDD3y	[c] : h2o + nadp + ppal --> (2) h + nadph + ppa
ALDD4	[c] : btal + h2o + nad --> but + (2) h + nadh
ALLabcpp	all-D[p] + atp[c] + h2o[c] --> adp[c] + all-D[c] + h[c] + pi[c]
ALLK	[c] : all-D + atp --> adp + all6p + h
ALLPI	[c] : all6p <==> allul6p
ALLTAMH	[c] : alltt + (2) h + (2) h2o --> co2 + (2) nh4 + urdglyc
ALLtex	all-D[e] <==> all-D[p]
ALLTN	[c] : alltn + h2o --> alltt + h
ALLTNt2rpp	alltn[p] + h[p] <==> alltn[c] + h[c]
ALLTNtex	alltn[e] <==> alltn[p]
ALLULPE	[c] : allul6p <==> f6p
ALPATE160pp	[p] : alpp + pe160 --> 2agpe160 + lpp
ALPATG160pp	[p] : alpp + pg160 --> 2agpg160 + lpp
ALR2	[c] : h + mthgxl + nadph --> acetol + nadp
ALR4x	[c] : acetol + h + nadh --> 12ppd-R + nad
ALTRH	[c] : altrn --> 2ddglcn + h2o
AM3PA	[c] : anhm3p + h2o --> LalaDgluMdap + anhm
AM4PA	[c] : anhm4p + h2o --> LalaDgluMdapDala + anhm
AM4PCP	[c] : anhm4p + h2o --> ala-D + anhm3p
AMALT1	[c] : malt + malttr --> glc-D + maltttr
